    [1137.41345215  630.21105957]
    [1166.74255371  553.42480469]
    [1203.03552246  603.168396  ]
    [1304.11621094  972.25494385]
    [1320.87451172 1479.74645996]
    [1329.77001953 1915.52954102]
    [1354.16687012 2220.56005859]
    [1139.5324707   962.90423584]
    [1147.90783691 1457.2322998 ]
    [1156.47668457 1882.0847168 ]
    [1157.85961914 2174.17871094]
    [1209.53991699  522.52600098]
    [1211.13720703  488.16711426]
    [1239.86083984  467.43731689]
    [1293.95043945  491.28451538]
    [1200.39172363  468.18212891]
    [1186.35290527  492.08905029]
    [1325.71398926 1969.02819824]
    [1158.83703613 1935.51245117]
    [1221.40014648  971.14874268]
    [1220.26452637  850.15454102]
    [1221.35791016  735.40612793]
    [1222.39758301  626.29675293]
    [1252.76147461  626.66607666]
    [1354.68286133  629.84747314]
    [1353.58959961  848.4128418 ]
    [1240.67138672  679.96740723]
    [1216.59313965  644.04876709]
    [1166.80725098  569.78082275]
    [1148.59094238  617.29986572]
    [1192.3338623   624.77990723]
    [1095.44384766  621.7555542 ]
    [1059.41381836  830.35949707]
    [1137.32043457  675.14825439]
    [1154.81591797  640.29241943]
    [1192.0480957   566.11572266]
    [1223.6875      615.87719727]
    [1305.55651855  976.41564941]
    [1318.97900391 1500.64770508]
    [1321.76269531 1940.20117188]
    [1347.51660156 2256.57763672]
    [1139.00927734  965.99237061]
    [1143.33789062 1478.09460449]
    [1147.14221191 1908.14050293]
    [1149.36218262 2212.45898438]
    [1209.7755127   520.58477783]
    [1210.5715332   485.26223755]
    [1239.17749023  462.77233887]
    [1294.0670166   484.47686768]
    [1198.53796387  463.98709106]
    [1183.55566406  486.63827515]
    [1315.3828125  1990.73339844]
    [1147.72460938 1958.86120605]
    [1218.9005127   962.43981934]
    [1218.10144043  846.5133667 ]
    [1219.09130859  734.98529053]
    [1220.04516602  627.50506592]
    [1249.78991699  627.82122803]
    [1349.35827637  630.79949951]
    [1360.81774902  839.88623047]
    [1250.52929688  657.3536377 ]
    [1227.4498291   619.15600586]
    [1180.20483398  540.96343994]
    [1158.66943359  595.71081543]
    [1190.5645752   626.04962158]
    [1095.4083252   623.20336914]
    [1058.85632324  829.29229736]
    [1118.34326172  655.1114502 ]
    [1131.47106934  616.67242432]
    [1159.1328125   535.67700195]
    [1198.72692871  589.56866455]
    [1299.74743652  967.31390381]
    [1311.71740723 1468.95922852]
    [1316.6998291  1908.28320312]
    [1340.57580566 2211.27734375]
    [1139.75744629  957.66845703]
    [1143.42907715 1447.71582031]
    [1147.0213623  1873.36352539]
    [1148.0723877  2163.02124023]
    [1208.37780762  522.89404297]
    [1208.51538086  488.98873901]
    [1234.69445801  468.16543579]
    [1285.11694336  491.09979248]
    [1194.96655273  470.28939819]
    [1177.20349121  495.77810669]
    [1311.54614258 1964.61633301]
    [1147.8815918  1928.30773926]
    [1232.22192383  964.13226318]
    [1228.80749512  851.56115723]
    [1226.70812988  742.29467773]
    [1224.66833496  636.12011719]
    [1254.07165527  635.41271973]
    [1357.77648926  634.9239502 ]
    [1368.57348633  842.31201172]
    [1243.93811035  662.30969238]
    [1218.30175781  625.284729  ]
    [1166.29223633  550.17095947]
    [1151.63354492  605.08197021]
    [1195.63818359  635.68811035]
    [1099.26464844  636.14233398]
    [1057.15332031  836.34790039]
    [1096.0748291   681.51019287]
    [1104.83251953  646.67010498]
    [1123.49072266  572.44354248]
    [1167.8894043   622.27697754]
    [1313.77722168  968.9407959 ]
    [1331.21435547 1456.86425781]
    [1345.66687012 1884.82788086]
    [1358.79870605 2172.48339844]
    [1153.56835938  959.49475098]
    [1163.52636719 1428.92138672]
    [1176.69348145 1836.06103516]
    [1168.87805176 2104.47241211]
    [1212.05004883  531.79382324]
    [1211.98535156  498.68563843]
    [1237.75244141  478.84603882]
    [1288.08410645  502.66751099]
    [1198.8548584   481.49920654]
    [1182.16748047  508.72396851]
    [1346.59960938 1941.35534668]
    [1183.19384766 1890.37988281]
    [1234.66003418  955.85925293]
    [1228.51953125  845.15148926]
    [1223.59094238  738.45397949]
    [1218.83605957  635.51623535]
    [1247.10668945  633.78735352]
    [1349.37255859  629.52484131]
    [1400.04199219  826.78356934]
    [1246.28076172  671.92791748]
    [1214.98950195  640.41400146]
    [1151.85559082  576.83062744]
    [1147.44055176  633.05957031]
    [1190.97802734  636.12683105]
    [1097.56359863  640.02038574]
    [1041.56604004  827.82818604]
    [956.6350708  698.74237061]
    [937.70947266 669.9776001 ]
    [897.61206055 609.03393555]
    [952.05969238 648.14941406]
    [1315.82141113  959.17236328]
    [1339.85058594 1439.31469727]
    [1362.68225098 1848.79956055]
    [1370.53552246 2121.25805664]
    [1157.04101562  952.6907959 ]
    [1173.3157959  1410.72912598]
    [1195.5390625  1801.03100586]
    [1184.25769043 2054.2019043 ]
    [1208.15185547  534.82147217]
    [1208.7434082   502.16992188]
    [1234.57519531  482.27215576]
    [1283.9510498   504.59381104]
    [1196.47692871  483.7315979 ]
    [1180.19787598  507.53536987]
    [1367.7532959 1901.8815918]
    [1205.95031738 1853.12145996]
    [1229.45092773  957.30493164]
    [1223.28710938  846.02685547]
    [1218.61877441  739.09008789]
    [1214.12646484  636.18438721]
    [1241.87817383  634.1239624 ]
    [1344.1463623   628.55761719]
    [1422.15783691  829.88433838]
    [1256.3458252   782.64373779]
    [1220.52441406  772.43804932]
    [1145.93066406  751.18591309]
    [1154.22631836  765.91522217]
    [1186.90722656  637.11602783]
    [1095.8717041   642.07098389]
    [1034.04211426  825.04785156]
    [912.99530029 705.22497559]
    [886.9487915 679.4418335]
    [832.82788086 625.86810303]
    [877.78088379 659.68786621]
    [1310.60925293  961.4934082 ]
    [1336.98535156 1449.35461426]
    [1366.91088867 1865.44921875]
    [1364.99926758 2139.86791992]
    [1152.71154785  953.34448242]
    [1170.45300293 1413.07543945]
    [1198.80053711 1805.87390137]
    [1178.64355469 2056.5703125 ]
    [1202.50524902  535.28649902]
    [1203.17077637  502.3526001 ]
    [1229.6427002   482.03482056]
    [1280.56176758  503.94049072]
    [1191.5559082   483.43258667]
    [1176.74462891  506.69049072]
    [1377.08776855 1920.13439941]
    [1213.80322266 1859.58203125]
    [1225.20214844  956.27838135]
    [1220.16784668  845.94036865]
    [1216.85107422  739.47003174]
    [1213.64611816  636.5881958 ]
    [1241.43688965  635.00738525]
    [1344.05908203  631.20166016]
    [1429.32543945  821.27764893]
    [1266.01074219  801.01538086]
    [1230.49633789  796.60919189]
    [1156.27441406  787.40057373]
    [1164.78759766  791.128479  ]
    [1186.39819336  637.04846191]
    [1094.9934082   640.43817139]
    [1030.0222168   822.58105469]
    [912.49084473 697.35327148]
    [887.23504639 670.44360352]
    [834.79589844 614.57055664]
    [879.78912354 648.40606689]
    [1306.24645996  960.64331055]
    [1331.39709473 1442.91833496]
    [1356.82324219 1860.82666016]
